seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	id
chromosome	929727	929871	145	*	GacA-1_peak_72	0394	930061	930384	+	upstream	-334	190	NearestLocation	PSPPH_0787
chromosome	935473	936879	1407	*	GacA-1_peak_73	5204	932480	935497	-	overlapStart	24	24	NearestLocation	PSPPH_0790
chromosome	943526	943870	345	*	GacA-1_peak_74	0401	943730	943963	+	overlapStart	-204	93	NearestLocation	PSPPH_0797
chromosome	944251	944529	279	*	GacA-1_peak_75	5201	944398	944532	-	overlapEnd	281	3	NearestLocation	PSPPH_0799
chromosome	961710	965230	3521	*	GacA-1_peak_76	0405	961992	977315	+	overlapStart	-282	282	NearestLocation	PSPPH_0815
chromosome	976483	976738	256	*	GacA-1_peak_77	5188	977780	977977	-	downstream	1494	1042	NearestLocation	PSPPH_0816
chromosome	977250	977547	298	*	GacA-1_peak_78	5188	977780	977977	-	downstream	727	233	NearestLocation	PSPPH_0816
chromosome	979581	981577	1997	*	GacA-1_peak_79	5185	979480	980697	-	overlapStart	1116	101	NearestLocation	PSPPH_0819
chromosome	981818	982057	240	*	GacA-1_peak_80	5184	980700	982394	-	inside	576	337	NearestLocation	PSPPH_0820
chromosome	982381	983636	1256	*	GacA-1_peak_81	5184	980700	982394	-	overlapStart	13	13	NearestLocation	PSPPH_0820
chromosome	1020404	1020671	268	*	GacA-1_peak_82	5172	1018780	1020444	-	overlapStart	40	40	NearestLocation	PSPPH_0852
chromosome	1026647	1026840	194	*	GacA-1_peak_83	5167	1025178	1026611	-	upstream	-36	36	NearestLocation	PSPPH_0857
chromosome	1048407	1050134	1728	*	GacA-1_peak_84	0439	1048750	1050267	+	overlapStart	-343	133	NearestLocation	PSPPH_0878
chromosome	1050363	1052387	2025	*	GacA-1_peak_85	0440	1050398	1050474	+	includeFeature	-35	35	NearestLocation	PSPPH_0879
chromosome	1053525	1053938	414	*	GacA-1_peak_86	0443	1053871	1053990	+	overlapStart	-346	52	NearestLocation	PSPPH_0882
chromosome	1065571	1065728	158	*	GacA-1_peak_87	5151	1065358	1065546	-	upstream	-25	25	NearestLocation	PSPPH_0893
chromosome	1068974	1069134	161	*	GacA-1_peak_88	0447	1069139	1069480	+	upstream	-165	5	NearestLocation	PSPPH_0897
chromosome	1070817	1070994	178	*	GacA-1_peak_89	0450	1071421	1072680	+	upstream	-604	427	NearestLocation	PSPPH_0900
chromosome	1094929	1095831	903	*	GacA-1_peak_90	0462	1093607	1094809	+	downstream	1322	120	NearestLocation	PSPPH_0919
chromosome	1096971	1097689	719	*	GacA-1_peak_91	5139	1095527	1097464	-	overlapStart	493	225	NearestLocation	PSPPH_0920
chromosome	1098623	1098848	226	*	GacA-1_peak_92	5137	1098226	1098675	-	overlapStart	52	52	NearestLocation	PSPPH_0922
chromosome	1116799	1117203	405	*	GacA-1_peak_93	5122	1114943	1116865	-	overlapStart	66	66	NearestLocation	PSPPH_0940
chromosome	1119015	1119225	211	*	GacA-1_peak_94	5121	1119203	1119466	-	overlapEnd	451	22	NearestLocation	PSPPH_0942
chromosome	1119520	1119786	267	*	GacA-1_peak_95	0469	1119735	1121282	+	overlapStart	-215	51	NearestLocation	PSPPH_0943
chromosome	1125798	1126091	294	*	GacA-1_peak_96	5118	1125905	1125981	-	includeFeature	183	107	NearestLocation	PSPPH_0948
chromosome	1139441	1139851	411	*	GacA-1_peak_97	0477	1139722	1140804	+	overlapStart	-281	129	NearestLocation	PSPPH_0958
chromosome	1140813	1143083	2271	*	GacA-1_peak_98	0480	1142615	1143382	+	overlapStart	-1802	299	NearestLocation	PSPPH_0961
chromosome	1143399	1143785	387	*	GacA-1_peak_99	0481	1143363	1144397	+	inside	36	36	NearestLocation	PSPPH_0962
chromosome	1144109	1150468	6360	*	GacA-1_peak_100	0482	1144428	1145729	+	includeFeature	-319	319	NearestLocation	PSPPH_0963
chromosome	1153355	1162304	8950	*	GacA-1_peak_101	5110	1152260	1153360	-	overlapStart	5	5	NearestLocation	PSPPH_0969
chromosome	1167988	1168199	212	*	GacA-1_peak_102	5101	1167139	1168527	-	inside	539	328	NearestLocation	PSPPH_0978
chromosome	1169328	1170371	1044	*	GacA-1_peak_103	0485	1170313	1172076	+	overlapStart	-985	58	NearestLocation	PSPPH_0980
chromosome	1177808	1178040	233	*	GacA-1_peak_104	0489	1177967	1179100	+	overlapStart	-159	73	NearestLocation	PSPPH_0985
chromosome	1182061	1182236	176	*	GacA-1_peak_105	0491	1181316	1182119	+	overlapEnd	745	58	NearestLocation	PSPPH_0987
chromosome	1182425	1182611	187	*	GacA-1_peak_106	5098	1182547	1183647	-	overlapEnd	1222	64	NearestLocation	PSPPH_0988
chromosome	1186080	1186370	291	*	GacA-1_peak_107	5095	1185154	1186095	-	overlapStart	15	15	NearestLocation	PSPPH_0991
chromosome	1254283	1256631	2349	*	GacA-1_peak_108	5059	1253088	1254308	-	overlapStart	25	25	NearestLocation	PSPPH_1061
chromosome	1258263	1258424	162	*	GacA-1_peak_109	5058	1258024	1258368	-	overlapStart	105	56	NearestLocation	PSPPH_1065
chromosome	1266209	1266439	231	*	GacA-1_peak_110	0533	1266510	1267055	+	upstream	-301	71	NearestLocation	PSPPH_1077
chromosome	1266807	1266943	137	*	GacA-1_peak_111	0533	1266510	1267055	+	inside	297	112	NearestLocation	PSPPH_1077
chromosome	1277189	1277433	245	*	GacA-1_peak_112	5043	1277491	1277757	-	downstream	568	58	NearestLocation	PSPPH_1084
chromosome	1281102	1281475	374	*	GacA-1_peak_113	0537	1281218	1282273	+	overlapStart	-116	116	NearestLocation	PSPPH_1088
chromosome	1281893	1282083	191	*	GacA-1_peak_114	5041	1282426	1282758	-	downstream	865	343	NearestLocation	PSPPH_1089
chromosome	1318414	1318932	519	*	GacA-1_peak_115	5020	1317259	1318575	-	overlapStart	161	161	NearestLocation	PSPPH_1118
chromosome	1340508	1342333	1826	*	GacA-1_peak_116	5015	1340646	1341851	-	includeFeature	1343	138	NearestLocation	PSPPH_1142
chromosome	1345952	1346600	649	*	GacA-1_peak_117	5012	1345074	1345496	-	upstream	-456	456	NearestLocation	PSPPH_1146
chromosome	1362100	1362589	490	*	GacA-1_peak_118	5001	1361947	1362159	-	overlapStart	59	59	NearestLocation	PSPPH_1160
chromosome	1363655	1363952	298	*	GacA-1_peak_119	5000	1362572	1363696	-	overlapStart	41	41	NearestLocation	PSPPH_1161
chromosome	1375063	1375283	221	*	GacA-1_peak_120	4991	1374902	1375258	-	overlapStart	195	25	NearestLocation	PSPPH_1170
chromosome	1408495	1408920	426	*	GacA-1_peak_121	0585	1408811	1409116	+	overlapStart	-316	109	NearestLocation	PSPPH_1198
chromosome	1409184	1409620	437	*	GacA-1_peak_122	0586	1409424	1410008	+	overlapStart	-240	196	NearestLocation	PSPPH_1199
chromosome	1419112	1419561	450	*	GacA-1_peak_123	0594	1419508	1420449	+	overlapStart	-396	53	NearestLocation	PSPPH_1210
chromosome	1419768	1421318	1551	*	GacA-1_peak_124	0595	1420453	1422465	+	overlapStart	-685	685	NearestLocation	PSPPH_1211
chromosome	1421922	1423576	1655	*	GacA-1_peak_125	0598	1423438	1424325	+	overlapStart	-1516	138	NearestLocation	PSPPH_1214
chromosome	1450799	1450981	183	*	GacA-1_peak_126	4954	1449051	1450868	-	overlapStart	69	69	NearestLocation	PSPPH_1242
chromosome	1454452	1454591	140	*	GacA-1_peak_127	0612	1454629	1455816	+	upstream	-177	38	NearestLocation	PSPPH_1247
chromosome	1484970	1485779	810	*	GacA-1_peak_128	0625	1485638	1486558	+	overlapStart	-668	141	NearestLocation	PSPPH_1270
chromosome	1510492	1510710	219	*	GacA-1_peak_129	4925	1510567	1510651	-	includeFeature	159	59	NearestLocation	PSPPH_1298
chromosome	1538471	1538608	138	*	GacA-1_peak_130	4923	1537398	1538267	-	upstream	-204	204	NearestLocation	PSPPH_1328
chromosome	1547163	1547338	176	*	GacA-1_peak_131	0673	1546977	1549802	+	inside	186	186	NearestLocation	PSPPH_1335
chromosome	1584591	1584739	149	*	GacA-1_peak_132	4912	1583646	1584284	-	upstream	-307	307	NearestLocation	PSPPH_1364
chromosome	1594618	1595994	1377	*	GacA-1_peak_133	0701	1595842	1596468	+	overlapStart	-1224	152	NearestLocation	PSPPH_1374
chromosome	1601986	1602435	450	*	GacA-1_peak_134	4903	1602035	1602244	-	includeFeature	258	49	NearestLocation	PSPPH_1380
chromosome	1603064	1603326	263	*	GacA-1_peak_135	0703	1602564	1603130	+	overlapEnd	500	66	NearestLocation	PSPPH_1381
chromosome	1651833	1652049	217	*	GacA-1_peak_136	0720	1651696	1651851	+	overlapEnd	137	18	NearestLocation	PSPPH_1423
chromosome	1683093	1683666	574	*	GacA-1_peak_137	0730	1683590	1684849	+	overlapStart	-497	76	NearestLocation	PSPPH_1442
chromosome	1684420	1684596	177	*	GacA-1_peak_138	0731	1685202	1686056	+	upstream	-782	606	NearestLocation	PSPPH_1443
chromosome	1684766	1686095	1330	*	GacA-1_peak_139	0731	1685202	1686056	+	includeFeature	-436	39	NearestLocation	PSPPH_1443
chromosome	1688585	1690539	1955	*	GacA-1_peak_140	4865	1688702	1689139	-	includeFeature	554	117	NearestLocation	PSPPH_1448
chromosome	1691665	1693157	1493	*	GacA-1_peak_141	4863	1691361	1691561	-	upstream	-104	104	NearestLocation	PSPPH_1450
chromosome	1694140	1695407	1268	*	GacA-1_peak_142	4861	1694238	1694840	-	includeFeature	700	98	NearestLocation	PSPPH_1452
chromosome	1695846	1697500	1655	*	GacA-1_peak_143	0735	1697475	1697702	+	overlapStart	-1629	25	NearestLocation	PSPPH_1454
chromosome	1697837	1698117	281	*	GacA-1_peak_144	0736	1697851	1698612	+	overlapStart	-14	14	NearestLocation	PSPPH_1455
chromosome	1721993	1722261	269	*	GacA-1_peak_145	4849	1722211	1722519	-	overlapEnd	526	50	NearestLocation	PSPPH_1483
chromosome	1722478	1722639	162	*	GacA-1_peak_146	4849	1722211	1722519	-	overlapStart	41	41	NearestLocation	PSPPH_1483
chromosome	1727363	1728309	947	*	GacA-1_peak_147	0758	1728285	1729004	+	overlapStart	-922	24	NearestLocation	PSPPH_1487
chromosome	1728882	1730557	1676	*	GacA-1_peak_148	0759	1729731	1730603	+	overlapStart	-849	46	NearestLocation	PSPPH_1488
chromosome	1732555	1732963	409	*	GacA-1_peak_149	4847	1731528	1732631	-	overlapStart	76	76	NearestLocation	PSPPH_1490
chromosome	1771998	1772274	277	*	GacA-1_peak_150	0774	1772229	1773839	+	overlapStart	-231	45	NearestLocation	PSPPH_1523
chromosome	1798567	1799016	450	*	GacA-1_peak_151	0787	1798653	1800296	+	overlapStart	-86	86	NearestLocation	PSPPH_1546
chromosome	1799666	1800054	389	*	GacA-1_peak_152	0788	1800485	1801618	+	upstream	-819	431	NearestLocation	PSPPH_1547
chromosome	1827319	1828092	774	*	GacA-1_peak_153	0799	1827343	1827418	+	includeFeature	-24	24	NearestLocation	PSPPH_1572
chromosome	1849225	1849391	167	*	GacA-1_peak_154	4791	1848101	1849168	-	upstream	-57	57	NearestLocation	PSPPH_1594
chromosome	1850047	1850359	313	*	GacA-1_peak_155	0812	1850733	1851101	+	upstream	-686	374	NearestLocation	PSPPH_1596
chromosome	1850047	1850359	313	*	GacA-1_peak_155	0813	1850733	1851101	+	upstream	-686	374	NearestLocation	PSPPH_1596
chromosome	1850576	1850873	298	*	GacA-1_peak_156	0812	1850733	1851101	+	overlapStart	-157	140	NearestLocation	PSPPH_1596
chromosome	1850576	1850873	298	*	GacA-1_peak_156	0813	1850733	1851101	+	overlapStart	-157	140	NearestLocation	PSPPH_1596
chromosome	1859071	1861991	2921	*	GacA-1_peak_157	4789	1857970	1859073	-	overlapStart	2	2	NearestLocation	PSPPH_1600
chromosome	1862797	1864154	1358	*	GacA-1_peak_158	4788	1861521	1862987	-	overlapStart	190	190	NearestLocation	PSPPH_1601
chromosome	1873667	1874103	437	*	GacA-1_peak_159	4778	1872530	1873726	-	overlapStart	59	59	NearestLocation	PSPPH_1613
chromosome	1875099	1875511	413	*	GacA-1_peak_160	4777	1874627	1875328	-	overlapStart	229	183	NearestLocation	PSPPH_1615
chromosome	1904076	1904769	694	*	GacA-1_peak_161	0843	1904835	1905071	+	upstream	-759	66	NearestLocation	PSPPH_1642
chromosome	1952424	1952751	328	*	GacA-1_peak_162	0883	1952689	1952764	+	overlapStart	-265	13	NearestLocation	PSPPH_1689
chromosome	1955529	1956453	925	*	GacA-1_peak_163	0887	1955057	1957165	+	inside	472	472	NearestLocation	PSPPH_1693
chromosome	1956760	1957732	973	*	GacA-1_peak_164	4763	1957205	1958197	-	overlapEnd	1437	445	NearestLocation	PSPPH_1694
chromosome	1958334	1958688	355	*	GacA-1_peak_165	0888	1958687	1959331	+	overlapStart	-353	1	NearestLocation	PSPPH_1695
chromosome	1966802	1967036	235	*	GacA-1_peak_166	0894	1966990	1967262	+	overlapStart	-188	46	NearestLocation	PSPPH_1701
chromosome	1967249	1967386	138	*	GacA-1_peak_167	0895	1967468	1969351	+	upstream	-219	82	NearestLocation	PSPPH_1702
chromosome	2013459	2014408	950	*	GacA-1_peak_168	0906	2012390	2013493	+	overlapEnd	1069	34	NearestLocation	PSPPH_1735
chromosome	2128108	2128264	157	*	GacA-1_peak_169	0960	2128250	2129659	+	overlapStart	-142	14	NearestLocation	PSPPH_1828
chromosome	2139162	2139357	196	*	GacA-1_peak_170	0968	2139780	2141297	+	upstream	-618	423	NearestLocation	PSPPH_1843
chromosome	2151732	2151887	156	*	GacA-1_peak_171	0972	2151802	2153265	+	overlapStart	-70	70	NearestLocation	PSPPH_1852
chromosome	2168377	2168798	422	*	GacA-1_peak_172	0982	2168726	2169211	+	overlapStart	-349	72	NearestLocation	PSPPH_1868
chromosome	2176762	2178266	1505	*	GacA-1_peak_173	4676	2176429	2176785	-	overlapStart	23	23	NearestLocation	PSPPH_1875
chromosome	2180583	2181246	664	*	GacA-1_peak_174	4672	2180806	2180898	-	includeFeature	315	223	NearestLocation	PSPPH_1879
chromosome	2180583	2181246	664	*	GacA-1_peak_174	4673	2180806	2180898	-	includeFeature	315	223	NearestLocation	PSPPH_1879
chromosome	2184954	2188025	3072	*	GacA-1_peak_175	0995	2185184	2185672	+	includeFeature	-230	230	NearestLocation	PSPPH_1885
chromosome	2191159	2191317	159	*	GacA-1_peak_176	0998	2191411	2191725	+	upstream	-252	94	NearestLocation	PSPPH_1889
chromosome	2195080	2200808	5729	*	GacA-1_peak_177	1004	2195444	2195803	+	includeFeature	-364	364	NearestLocation	PSPPH_1895
chromosome	2201432	2201706	275	*	GacA-1_peak_178	1006	2201648	2202667	+	overlapStart	-216	58	NearestLocation	PSPPH_1898
chromosome	2204972	2205226	255	*	GacA-1_peak_179	4669	2204369	2205871	-	inside	899	603	NearestLocation	PSPPH_1900
chromosome	2208811	2209111	301	*	GacA-1_peak_180	1009	2208997	2209428	+	overlapStart	-186	114	NearestLocation	PSPPH_1903
chromosome	2209395	2209531	137	*	GacA-1_peak_181	4667	2209436	2209900	-	overlapEnd	505	41	NearestLocation	PSPPH_1904
chromosome	2292520	2292886	367	*	GacA-1_peak_182	1026	2292767	2292842	+	includeFeature	-247	44	NearestLocation	PSPPH_1945
chromosome	2325128	2325265	138	*	GacA-1_peak_183	1056	2325450	2328281	+	upstream	-322	185	NearestLocation	PSPPH_1980
chromosome	2366248	2366397	150	*	GacA-1_peak_184	4623	2365654	2366211	-	upstream	-37	37	NearestLocation	PSPPH_2013
chromosome	2396130	2396295	166	*	GacA-1_peak_185	1101	2396354	2396641	+	upstream	-224	59	NearestLocation	PSPPH_2043
chromosome	2422902	2423368	467	*	GacA-1_peak_186	1119	2423246	2424280	+	overlapStart	-344	122	NearestLocation	PSPPH_2068
chromosome	2423819	2424132	314	*	GacA-1_peak_187	1119	2423246	2424280	+	inside	573	148	NearestLocation	PSPPH_2068
chromosome	2432614	2433023	410	*	GacA-1_peak_188	1120	2433132	2434379	+	upstream	-518	109	NearestLocation	PSPPH_2074
chromosome	2433641	2434072	432	*	GacA-1_peak_189	1120	2433132	2434379	+	inside	509	307	NearestLocation	PSPPH_2074
chromosome	2493761	2494060	300	*	GacA-1_peak_190	1158	2493920	2494276	+	overlapStart	-159	140	NearestLocation	PSPPH_2138
chromosome	2498072	2498220	149	*	GacA-1_peak_191	1162	2498091	2498447	+	overlapStart	-19	19	NearestLocation	PSPPH_2142
chromosome	2498405	2498557	153	*	GacA-1_peak_192	1163	2498536	2498612	+	overlapStart	-131	21	NearestLocation	PSPPH_2143
chromosome	2503622	2505595	1974	*	GacA-1_peak_193	1164	2503232	2503648	+	overlapEnd	390	26	NearestLocation	PSPPH_2150
chromosome	2510763	2511273	511	*	GacA-1_peak_194	1169	2511167	2512426	+	overlapStart	-404	106	NearestLocation	PSPPH_2156
chromosome	2512537	2512820	284	*	GacA-1_peak_195	1170	2512753	2513664	+	overlapStart	-216	67	NearestLocation	PSPPH_2157
chromosome	2512537	2512820	284	*	GacA-1_peak_195	1171	2512753	2513664	+	overlapStart	-216	67	NearestLocation	PSPPH_2157
chromosome	2513648	2513973	326	*	GacA-1_peak_196	1172	2513942	2514970	+	overlapStart	-294	31	NearestLocation	PSPPH_2158
chromosome	2538242	2538539	298	*	GacA-1_peak_197	4561	2538011	2539134	-	inside	892	231	NearestLocation	PSPPH_2184
chromosome	2538242	2538539	298	*	GacA-1_peak_197	4562	2538011	2539134	-	inside	892	231	NearestLocation	PSPPH_2184
chromosome	2539068	2539527	460	*	GacA-1_peak_198	4561	2538011	2539134	-	overlapStart	66	66	NearestLocation	PSPPH_2184
chromosome	2539068	2539527	460	*	GacA-1_peak_198	4562	2538011	2539134	-	overlapStart	66	66	NearestLocation	PSPPH_2184
chromosome	2540798	2541286	489	*	GacA-1_peak_199	1194	2541290	2542897	+	upstream	-492	4	NearestLocation	PSPPH_2186
chromosome	2613223	2613442	220	*	GacA-1_peak_200	4522	2613336	2613509	-	overlapEnd	286	67	NearestLocation	PSPPH_2250
chromosome	2631080	2631417	338	*	GacA-1_peak_201	4515	2631475	2631837	-	downstream	757	58	NearestLocation	PSPPH_2269
chromosome	2631840	2632213	374	*	GacA-1_peak_202	4515	2631475	2631837	-	upstream	-3	3	NearestLocation	PSPPH_2269
chromosome	2647566	2650608	3043	*	GacA-1_peak_203	1240	2647753	2648355	+	includeFeature	-187	187	NearestLocation	PSPPH_2281
